"geno_ID","year","location","pltht","yld_bu_ac","earht"
"MOG_LH145_0131/LH195",2014,"Georgetown",233.5,188.26072285,108
"MOG_MO45-030-1-1-1-1-B/LH195",2014,"Georgetown",226,184.8188427,83.9999999999999
"MOG_MO45-054-1-1-1-1-B/LH195",2014,"Georgetown",225,228.2641989,119
"MOG_MO45-055-1-1-1-1-B/LH195",2014,"Georgetown",230,125.2159026,109
"MOG_MO45-071-1-1-1-1-B/LH195",2014,"Georgetown",234,203.6501744,108
"MOG_MO45-074-1-1-1-1-B/LH195",2014,"Georgetown",230,138.4097266,103
"MOG_MO45-085-1-1-1-1-B/LH195",2014,"Georgetown",244,187.372956,130
"MOG_NC230-009-1-1-1-1-B/LH195",2014,"Georgetown",231,190.8062993,110
"MOG_OH43_0300/LH195",2014,"Georgetown",249,211.0049507,124
"MOG_PHG83-014-1-1-1-1-B/LH195",2014,"Georgetown",267,246.608993,128
"MOG_PHG83-090-1-1-1-1-B/LH195",2014,"Georgetown",250,219.3889181,143
"MOG_PHG83-129-1-1-1-1-B/LH195",2014,"Georgetown",214,127.724287255,116
"PB80/LH185",2014,"Georgetown",251,193.124009,128
"PHB47/LH195",2014,"Georgetown",254,164.0821942,129
"PHG39/PHG35",2014,"Georgetown",209,208.0875163,84.9999999999999
"PHG39/PHM49",2014,"Georgetown",252,213.0974801,126
"PHG39/PHN82",2014,"Georgetown",240,133.8820021,121
"PHG39/TX205",2014,"Georgetown",231,245.4355719,107
"PHN11_LH145_0029/PB80",2014,"Georgetown",272,209.7779209,158
"PHN11_OH43_0142/LH195",2014,"Georgetown",244,204.3025526,119
"PHN11_OH43_0190/LH195",2014,"Georgetown",274,163.2301863,127
"PHN11_OH43_0215/LH195",2014,"Georgetown",257,228.7595718,119
"PHN11_PHG47_0048/LH195",2014,"Georgetown",218,171.1321532,77
"PHN11_PHG47_0172/LH195",2014,"Georgetown",208,134.3151698,117
"PHN11_PHG47_0251/LH195",2014,"Georgetown",230,196.6963289,97.9999999999999
"PHN11_PHG47_0287/LH195",2014,"Georgetown",223,147.8747028,110
"PHN11_PHG47_0388/LH195",2014,"Georgetown",260,208.3775285,134
"PHN11_PHW65_0015/LH195",2014,"Georgetown",272,190.9362018,137
"PHN11_PHW65_0065/LH195",2014,"Georgetown",234,162.7900937,99.9999999999999
"PHN11_PHW65_0101/LH195",2014,"Georgetown",228,246.6620047,113
"PHN11_PHW65_0237/LH195",2014,"Georgetown",221,184.2335649,87
"PHN11_PHW65_0275/LH195",2014,"Georgetown",252,213.1798631,118
"PHN11_PHW65_0294/LH195",2014,"Georgetown",220,171.0391439,95.9999999999999
"PHN11_PHW65_0312/LH195",2014,"Georgetown",259,217.8673391,122
"PHN11_PHW65_0323/LH195",2014,"Georgetown",254,238.5161124,123
"PHN11_PHW65_0328/LH195",2014,"Georgetown",235,150.6296397,109
"PHN11_PHW65_0359/LH195",2014,"Georgetown",228,165.2985978,127
"PHW52/PHG35",2014,"Georgetown",239,114.2756728,127
"PHW52/PHM49",2014,"Georgetown",211,149.0252,113
"PHW52/PHN82",2014,"Georgetown",228,163.5004982,101
"PHW52/TX205",2014,"Georgetown",252,252.9625169,116
"PHW65_MoG_0029/LH195",2014,"Georgetown",219,180.4862109,120
"PHW65_MoG_0176/LH195",2014,"Georgetown",184,135.6869072,85
"PHW65_MoG_0271/PB80",2014,"Georgetown",218,171.8911518,78
"TX204/LH185",2014,"Georgetown",216,186.1484335,105
"TX303/LH195",2014,"Georgetown",190,148.8833579,84
"TX714/LH185",2014,"Georgetown",204,169.6897335,79
"TX740/LH185",2014,"Georgetown",243,179.0111961,143
"TX772/LH185",2014,"Georgetown",241,198.2042968,118
"TX772W/LH185",2014,"Georgetown",242,174.9589054,132
"W10004_0076/LH185",2014,"Georgetown",226,185.4355216,127
"W10004_0097/LH195",2014,"Georgetown",224,143.6788985,102
"W10004_0227/LH195",2014,"Georgetown",250,192.281314,131
"W10005_0029/LH185",2014,"Georgetown",238,221.7376707,111
"W10005_0037/LH185",2014,"Georgetown",231,150.7394837,93.9999999999999
"W10005_0107/LH185",2014,"Georgetown",233,188.5924638,114
"W10005_0147/LH185",2014,"Georgetown",284,208.731895,165
"W10005_0220/LH185",2014,"Georgetown",230,161.7429932,123
"Z013E0002/LH185",2014,"Georgetown",286,248.328769,155
"Z013E0006/LH185",2014,"Georgetown",262,223.3551245,127
"Z013E0012/LH195",2014,"Georgetown",216,176.0260644,89.9999999999999
"Z013E0014/LH185",2014,"Georgetown",248,162.6255664,119
"Z013E0019/LH195",2014,"Georgetown",256,179.8898292,149
"Z013E0020/LH185",2014,"Georgetown",257,212.2588446,128
"Z013E0021/LH195",2014,"Georgetown",270,209.668435,136
"Z013E0022/LH185",2014,"Georgetown",272,176.0504211,128
"Z013E0022/LH195",2014,"Georgetown",255,227.3141672,164
"Z013E0026/LH185",2014,"Georgetown",236,188.7390818,116
"Z013E0026/LH195",2014,"Georgetown",232,211.4862348,123
"Z013E0027/LH195",2014,"Georgetown",280,258.604681,151
"Z013E0028/LH185",2014,"Georgetown",228,122.1561485,115
"Z013E0032/LH185",2014,"Georgetown",211,142.368411,88
"Z013E0034/LH185",2014,"Georgetown",267,293.6980678,148.999999999999
"Z013E0036/LH185",2014,"Georgetown",279,179.8206991,146
"Z013E0037/LH185",2014,"Georgetown",251,210.1599872,131
"Z013E0037/LH195",2014,"Georgetown",230,156.9970134,115
"Z013E0039/LH185",2014,"Georgetown",226,177.1291614,109
"Z013E0044/LH195",2014,"Georgetown",282,138.2440053,133
"Z013E0045/LH185",2014,"Georgetown",234,188.0453926,112
